Comunidades y ciudades autónomas	Sexo	periodo	Total
Castilla - La Mancha	Mujeres	2025	71,29
Castilla - La Mancha	Mujeres	2024	71,27
Castilla - La Mancha	Mujeres	2023	71,22
Castilla - La Mancha	Mujeres	2022	71,11
Castilla - La Mancha	Mujeres	2021	70,98
Castilla - La Mancha	Mujeres	2020	70,81
Castilla - La Mancha	Mujeres	2019	70,56
Castilla - La Mancha	Mujeres	2018	70,04
Castilla - La Mancha	Mujeres	2017	69,34
Castilla - La Mancha	Mujeres	2016	68,61
Castilla - La Mancha	Mujeres	2015	66,08
Castilla - La Mancha	Mujeres	2014	66,63
Castilla - La Mancha	Mujeres	2013	65,46
Castilla - La Mancha	Mujeres	2012	65,54
Castilla - La Mancha	Mujeres	2011	63,03
Castilla - La Mancha	Mujeres	2010	61,2
Castilla - La Mancha	Mujeres	2009	60,35
Castilla - La Mancha	Mujeres	2008	58,81
Castilla - La Mancha	Mujeres	2007	55,74
Castilla - La Mancha	Mujeres	2006	54,11
Castilla - La Mancha	Mujeres	2005	51,93
Castilla - La Mancha	Mujeres	2004	50,34
Castilla - La Mancha	Mujeres	2003	49,6
Castilla - La Mancha	Mujeres	2002	45,98
Castilla - La Mancha	Mujeres	2001	43,64
Castilla - La Mancha	Mujeres	2000	42,33
Castilla - La Mancha	Mujeres	1999	41,13
Castilla - La Mancha	Mujeres	1998	40,17
Castilla - La Mancha	Mujeres	1997	38,21
Castilla - La Mancha	Mujeres	1996	36,52
Castilla - La Mancha	Mujeres	1995	35,96
Castilla - La Mancha	Mujeres	1994	35,53
Castilla - La Mancha	Mujeres	1993	35,81
Castilla - La Mancha	Mujeres	1992	35,19
Castilla - La Mancha	Mujeres	1991	33,02
Castilla - La Mancha	Mujeres	1990	33,24
Castilla - La Mancha	Mujeres	1989	32,99
Castilla - La Mancha	Mujeres	1988	31,41
Castilla - La Mancha	Mujeres	1987	27,11
Castilla - La Mancha	Mujeres	1986	25,97
Castilla - La Mancha	Mujeres	1985	26,27
Castilla - La Mancha	Mujeres	1984	25,9
Castilla - La Mancha	Mujeres	1983	26,01
Castilla - La Mancha	Mujeres	1982	25,25
Castilla - La Mancha	Mujeres	1981	25,17
Castilla - La Mancha	Mujeres	1980	25,9
Castilla - La Mancha	Mujeres	1979	26,33
Castilla - La Mancha	Mujeres	1978	27,37
Castilla - La Mancha	Mujeres	1977	27,18
Cataluña	Ambos sexos	2029	77,72
Cataluña	Ambos sexos	2028	77,76
Cataluña	Ambos sexos	2027	77,93
Cataluña	Ambos sexos	2026	78,12
Cataluña	Ambos sexos	2025	78,29
Cataluña	Ambos sexos	2024	78,59
Cataluña	Ambos sexos	2023	78,8
Cataluña	Ambos sexos	2022	79,01
Cataluña	Ambos sexos	2021	79,26
Cataluña	Ambos sexos	2020	79,45
Cataluña	Ambos sexos	2019	79,68
Cataluña	Ambos sexos	2018	79,81
Cataluña	Ambos sexos	2017	79,83
Cataluña	Ambos sexos	2016	79,86
Cataluña	Ambos sexos	2015	79,06
Cataluña	Ambos sexos	2014	79,18
Cataluña	Ambos sexos	2013	78,7
Cataluña	Ambos sexos	2012	78,96
Cataluña	Ambos sexos	2011	78,95
Cataluña	Ambos sexos	2010	77,85
Cataluña	Ambos sexos	2009	78,21
Cataluña	Ambos sexos	2008	78,06
Cataluña	Ambos sexos	2007	77,09
Cataluña	Ambos sexos	2006	76,53
Cataluña	Ambos sexos	2005	75,75
Cataluña	Ambos sexos	2004	75,74
Cataluña	Ambos sexos	2003	74,25
Cataluña	Ambos sexos	2002	72,55
Cataluña	Ambos sexos	2001	71,68
Cataluña	Ambos sexos	2000	70,29
Cataluña	Ambos sexos	1999	69,33
Cataluña	Ambos sexos	1998	68,59
Cataluña	Ambos sexos	1997	68,12
Cataluña	Ambos sexos	1996	66,48
Cataluña	Ambos sexos	1995	65,91
Cataluña	Ambos sexos	1994	65,83
Cataluña	Ambos sexos	1993	64,68
Cataluña	Ambos sexos	1992	64,99
Cataluña	Ambos sexos	1991	64,41
Cataluña	Ambos sexos	1990	63,93
Cataluña	Ambos sexos	1989	63,71
Cataluña	Ambos sexos	1988	64,46
Cataluña	Ambos sexos	1987	61,95
Cataluña	Ambos sexos	1986	60,06
Cataluña	Ambos sexos	1985	60,06
Cataluña	Ambos sexos	1984	60,29
Cataluña	Ambos sexos	1983	61,14
Cataluña	Ambos sexos	1982	61,07
Cataluña	Ambos sexos	1981	60,71
Cataluña	Ambos sexos	1980	60,97
Cataluña	Ambos sexos	1979	61,08
Cataluña	Ambos sexos	1978	61,22
Cataluña	Ambos sexos	1977	61,15
Cataluña	Varones	2029	78,19
Cataluña	Varones	2028	78,24
Cataluña	Varones	2027	78,42
Cataluña	Varones	2026	78,64
Cataluña	Varones	2025	78,92
Cataluña	Varones	2024	79,3
Cataluña	Varones	2023	79,62
Cataluña	Varones	2022	79,97
Cataluña	Varones	2021	80,33
Cataluña	Varones	2020	80,7
Cataluña	Varones	2019	81,07
Cataluña	Varones	2018	81,41
Cataluña	Varones	2017	81,7
Cataluña	Varones	2016	82,08
Cataluña	Varones	2015	83,56
Cataluña	Varones	2014	83,65
Cataluña	Varones	2013	83,91
Cataluña	Varones	2012	84,14
Cataluña	Varones	2011	85,1
Cataluña	Varones	2010	84,45
Cataluña	Varones	2009	85,77
Cataluña	Varones	2008	86,63
Cataluña	Varones	2007	85,94
Cataluña	Varones	2006	85,94
Cataluña	Varones	2005	85,37
Cataluña	Varones	2004	86,09
Cataluña	Varones	2003	85,67
Cataluña	Varones	2002	84,37
Cataluña	Varones	2001	83,44
Cataluña	Varones	2000	82,14
Cataluña	Varones	1999	81,8
Cataluña	Varones	1998	80,83
Cataluña	Varones	1997	80,31
Cataluña	Varones	1996	78,93
Cataluña	Varones	1995	79,02
Cataluña	Varones	1994	79,72
Cataluña	Varones	1993	80,38
Cataluña	Varones	1992	81,08
Cataluña	Varones	1991	81,3
Cataluña	Varones	1990	81,46
Cataluña	Varones	1989	81,03
Cataluña	Varones	1988	81,37
Cataluña	Varones	1987	81,72
Cataluña	Varones	1986	81,28
Cataluña	Varones	1985	81,92
Cataluña	Varones	1984	82,6
Cataluña	Varones	1983	83,76
Cataluña	Varones	1982	84,9
Cataluña	Varones	1981	84,83
Cataluña	Varones	1980	85,82
Cataluña	Varones	1979	87,14
Cataluña	Varones	1978	87,92
Cataluña	Varones	1977	88,73
Cataluña	Mujeres	2029	77,26
Cataluña	Mujeres	2028	77,28
Cataluña	Mujeres	2027	77,44
Cataluña	Mujeres	2026	77,61
Cataluña	Mujeres	2025	77,67
Cataluña	Mujeres	2024	77,88
Cataluña	Mujeres	2023	77,99
Cataluña	Mujeres	2022	78,06
Cataluña	Mujeres	2021	78,22
Cataluña	Mujeres	2020	78,21
Cataluña	Mujeres	2019	78,31
Cataluña	Mujeres	2018	78,22
Cataluña	Mujeres	2017	77,98
Cataluña	Mujeres	2016	77,64
Cataluña	Mujeres	2015	74,57
Cataluña	Mujeres	2014	74,68
Cataluña	Mujeres	2013	73,43
Cataluña	Mujeres	2012	73,66
Cataluña	Mujeres	2011	72,62
Cataluña	Mujeres	2010	71,03
Cataluña	Mujeres	2009	70,35
Cataluña	Mujeres	2008	69,15
Cataluña	Mujeres	2007	67,91
Cataluña	Mujeres	2006	66,77
Cataluña	Mujeres	2005	65,82
Cataluña	Mujeres	2004	65,12
Cataluña	Mujeres	2003	62,58
Cataluña	Mujeres	2002	60,56
Cataluña	Mujeres	2001	59,79
Cataluña	Mujeres	2000	58,34
Cataluña	Mujeres	1999	56,77
Cataluña	Mujeres	1998	56,26
Cataluña	Mujeres	1997	55,86
Cataluña	Mujeres	1996	53,97
Cataluña	Mujeres	1995	52,76
Cataluña	Mujeres	1994	51,91
Cataluña	Mujeres	1993	48,97
Cataluña	Mujeres	1992	48,92
Cataluña	Mujeres	1991	47,56
Cataluña	Mujeres	1990	46,47
Cataluña	Mujeres	1989	46,49
Cataluña	Mujeres	1988	47,66
Cataluña	Mujeres	1987	42,35
Cataluña	Mujeres	1986	39,05
Cataluña	Mujeres	1985	38,46
Cataluña	Mujeres	1984	38,29
Cataluña	Mujeres	1983	38,86
Cataluña	Mujeres	1982	37,66
Cataluña	Mujeres	1981	37,07
Cataluña	Mujeres	1980	36,63
Cataluña	Mujeres	1979	35,64
Cataluña	Mujeres	1978	35,23
Cataluña	Mujeres	1977	34,4
Comunitat Valenciana	Ambos sexos	2029	74,13
Comunitat Valenciana	Ambos sexos	2028	74,18
Comunitat Valenciana	Ambos sexos	2027	74,36
Comunitat Valenciana	Ambos sexos	2026	74,57
Comunitat Valenciana	Ambos sexos	2025	74,78
Comunitat Valenciana	Ambos sexos	2024	75,1
Comunitat Valenciana	Ambos sexos	2023	75,28
Comunitat Valenciana	Ambos sexos	2022	75,52
Comunitat Valenciana	Ambos sexos	2021	75,75
Comunitat Valenciana	Ambos sexos	2020	76,01
Comunitat Valenciana	Ambos sexos	2019	76,17
Comunitat Valenciana	Ambos sexos	2018	76,32
Comunitat Valenciana	Ambos sexos	2017	76,39
Comunitat Valenciana	Ambos sexos	2016	76,41
Comunitat Valenciana	Ambos sexos	2015	74,81
Comunitat Valenciana	Ambos sexos	2014	75,07
Comunitat Valenciana	Ambos sexos	2013	74,79
Comunitat Valenciana	Ambos sexos	2012	74,5
Comunitat Valenciana	Ambos sexos	2011	74,19
Comunitat Valenciana	Ambos sexos	2010	74,62
Comunitat Valenciana	Ambos sexos	2009	74,7
Comunitat Valenciana	Ambos sexos	2008	74,06
Comunitat Valenciana	Ambos sexos	2007	73,06
Comunitat Valenciana	Ambos sexos	2006	72,25
Comunitat Valenciana	Ambos sexos	2005	71,95
Comunitat Valenciana	Ambos sexos	2004	70,8
Comunitat Valenciana	Ambos sexos	2003	69,95
Comunitat Valenciana	Ambos sexos	2002	68,74
Comunitat Valenciana	Ambos sexos	2001	67,21
Comunitat Valenciana	Ambos sexos	2000	65,39
Comunitat Valenciana	Ambos sexos	1999	64,4
Comunitat Valenciana	Ambos sexos	1998	63,96
Comunitat Valenciana	Ambos sexos	1997	63,16
Comunitat Valenciana	Ambos sexos	1996	62,99
Comunitat Valenciana	Ambos sexos	1995	62,76
Comunitat Valenciana	Ambos sexos	1994	62,91
Comunitat Valenciana	Ambos sexos	1993	63,07
Comunitat Valenciana	Ambos sexos	1992	62,64
Comunitat Valenciana	Ambos sexos	1991	62,51
Comunitat Valenciana	Ambos sexos	1990	62,37
Comunitat Valenciana	Ambos sexos	1989	61,65
Comunitat Valenciana	Ambos sexos	1988	61,56
Comunitat Valenciana	Ambos sexos	1987	59,69
Comunitat Valenciana	Ambos sexos	1986	58,49
Comunitat Valenciana	Ambos sexos	1985	58,89
Comunitat Valenciana	Ambos sexos	1984	59,06
Comunitat Valenciana	Ambos sexos	1983	59,02
Comunitat Valenciana	Ambos sexos	1982	59,11
Comunitat Valenciana	Ambos sexos	1981	58,83
Comunitat Valenciana	Ambos sexos	1980	60,36
Comunitat Valenciana	Ambos sexos	1979	60,38
Comunitat Valenciana	Ambos sexos	1978	60,62
Comunitat Valenciana	Ambos sexos	1977	60,53
Comunitat Valenciana	Varones	2029	76,09
Comunitat Valenciana	Varones	2028	76,12
Comunitat Valenciana	Varones	2027	76,27
Comunitat Valenciana	Varones	2026	76,47
Comunitat Valenciana	Varones	2025	76,8
Comunitat Valenciana	Varones	2024	77,2
Comunitat Valenciana	Varones	2023	77,47
Comunitat Valenciana	Varones	2022	77,87
Comunitat Valenciana	Varones	2021	78,24
Comunitat Valenciana	Varones	2020	78,65
Comunitat Valenciana	Varones	2019	79,08
Comunitat Valenciana	Varones	2018	79,42
Comunitat Valenciana	Varones	2017	79,86
Comunitat Valenciana	Varones	2016	80,29
Comunitat Valenciana	Varones	2015	80,71
Comunitat Valenciana	Varones	2014	81,03
Comunitat Valenciana	Varones	2013	81,4
Comunitat Valenciana	Varones	2012	81,14
Comunitat Valenciana	Varones	2011	81,02
Comunitat Valenciana	Varones	2010	82,51
Comunitat Valenciana	Varones	2009	83,37
Comunitat Valenciana	Varones	2008	83,71
Comunitat Valenciana	Varones	2007	83,53
Comunitat Valenciana	Varones	2006	83,53
Comunitat Valenciana	Varones	2005	83,15
Comunitat Valenciana	Varones	2004	82,78
Comunitat Valenciana	Varones	2003	82,79
Comunitat Valenciana	Varones	2002	81,99
Comunitat Valenciana	Varones	2001	81,57
Comunitat Valenciana	Varones	2000	79,5
Comunitat Valenciana	Varones	1999	79,4
Comunitat Valenciana	Varones	1998	78,74
Comunitat Valenciana	Varones	1997	78,01
Comunitat Valenciana	Varones	1996	78,34
Comunitat Valenciana	Varones	1995	77,84
Comunitat Valenciana	Varones	1994	79,05
Comunitat Valenciana	Varones	1993	79,7
Comunitat Valenciana	Varones	1992	80,13
Comunitat Valenciana	Varones	1991	81,42
Comunitat Valenciana	Varones	1990	81,6
Comunitat Valenciana	Varones	1989	81,28
Comunitat Valenciana	Varones	1988	81,13
Comunitat Valenciana	Varones	1987	81,79
Comunitat Valenciana	Varones	1986	81,67
Comunitat Valenciana	Varones	1985	82,34
Comunitat Valenciana	Varones	1984	82,64
Comunitat Valenciana	Varones	1983	83,05
Comunitat Valenciana	Varones	1982	84,14
Comunitat Valenciana	Varones	1981	83,99
Comunitat Valenciana	Varones	1980	85,71
Comunitat Valenciana	Varones	1979	86,67
Comunitat Valenciana	Varones	1978	87,36
Comunitat Valenciana	Varones	1977	87,71
Comunitat Valenciana	Mujeres	2029	72,16
Comunitat Valenciana	Mujeres	2028	72,24
Comunitat Valenciana	Mujeres	2027	72,44
Comunitat Valenciana	Mujeres	2026	72,65
Comunitat Valenciana	Mujeres	2025	72,75
Comunitat Valenciana	Mujeres	2024	73
Comunitat Valenciana	Mujeres	2023	73,08
Comunitat Valenciana	Mujeres	2022	73,17
Comunitat Valenciana	Mujeres	2021	73,24
Comunitat Valenciana	Mujeres	2020	73,35
Comunitat Valenciana	Mujeres	2019	73,25
Comunitat Valenciana	Mujeres	2018	73,2
Comunitat Valenciana	Mujeres	2017	72,88
Comunitat Valenciana	Mujeres	2016	72,49
Comunitat Valenciana	Mujeres	2015	68,81
Comunitat Valenciana	Mujeres	2014	69,02
Comunitat Valenciana	Mujeres	2013	68,03
Comunitat Valenciana	Mujeres	2012	67,68
Comunitat Valenciana	Mujeres	2011	67,16
Comunitat Valenciana	Mujeres	2010	66,49
Comunitat Valenciana	Mujeres	2009	65,73
Comunitat Valenciana	Mujeres	2008	64,07
Comunitat Valenciana	Mujeres	2007	62,25
Comunitat Valenciana	Mujeres	2006	60,61
Comunitat Valenciana	Mujeres	2005	60,44
Comunitat Valenciana	Mujeres	2004	58,58
Comunitat Valenciana	Mujeres	2003	56,9
Comunitat Valenciana	Mujeres	2002	55,34
Comunitat Valenciana	Mujeres	2001	52,77
Comunitat Valenciana	Mujeres	2000	51,26
Comunitat Valenciana	Mujeres	1999	49,41
Comunitat Valenciana	Mujeres	1998	49,21
Comunitat Valenciana	Mujeres	1997	48,35
Comunitat Valenciana	Mujeres	1996	47,72
Comunitat Valenciana	Mujeres	1995	47,78
Comunitat Valenciana	Mujeres	1994	46,89
Comunitat Valenciana	Mujeres	1993	46,58
Comunitat Valenciana	Mujeres	1992	45,32
Comunitat Valenciana	Mujeres	1991	43,81
Comunitat Valenciana	Mujeres	1990	43,37
Comunitat Valenciana	Mujeres	1989	42,28
Comunitat Valenciana	Mujeres	1988	42,26
Comunitat Valenciana	Mujeres	1987	37,92
Comunitat Valenciana	Mujeres	1986	35,68
Comunitat Valenciana	Mujeres	1985	35,87
Comunitat Valenciana	Mujeres	1984	35,96
Comunitat Valenciana	Mujeres	1983	35,54
Comunitat Valenciana	Mujeres	1982	34,71
Comunitat Valenciana	Mujeres	1981	34,35
Comunitat Valenciana	Mujeres	1980	35,73
Comunitat Valenciana	Mujeres	1979	34,87
Comunitat Valenciana	Mujeres	1978	34,73
Comunitat Valenciana	Mujeres	1977	34,27
Extremadura	Ambos sexos	2029	68,51
Extremadura	Ambos sexos	2028	68,55
Extremadura	Ambos sexos	2027	68,71
Extremadura	Ambos sexos	2026	68,91
Extremadura	Ambos sexos	2025	68,98
Extremadura	Ambos sexos	2024	69,18
Extremadura	Ambos sexos	2023	69,29
Extremadura	Ambos sexos	2022	69,4
Extremadura	Ambos sexos	2021	69,53
Extremadura	Ambos sexos	2020	69,65
Extremadura	Ambos sexos	2019	69,75
Extremadura	Ambos sexos	2018	69,75
Extremadura	Ambos sexos	2017	69,68
Extremadura	Ambos sexos	2016	69,59
Extremadura	Ambos sexos	2015	71,1
Extremadura	Ambos sexos	2014	70,86
Extremadura	Ambos sexos	2013	71,89
Extremadura	Ambos sexos	2012	68,97
Extremadura	Ambos sexos	2011	69,73
Extremadura	Ambos sexos	2010	68,7
Extremadura	Ambos sexos	2009	68,46
Extremadura	Ambos sexos	2008	67,57
Extremadura	Ambos sexos	2007	66,43
Extremadura	Ambos sexos	2006	66,05
Extremadura	Ambos sexos	2005	65,78
Extremadura	Ambos sexos	2004	64,57
Extremadura	Ambos sexos	2003	64,28
Extremadura	Ambos sexos	2002	61,37
Extremadura	Ambos sexos	2001	60,19
Extremadura	Ambos sexos	2000	59,61
Extremadura	Ambos sexos	1999	57,63
Extremadura	Ambos sexos	1998	56,66
Extremadura	Ambos sexos	1997	56,39
Extremadura	Ambos sexos	1996	55,42
Extremadura	Ambos sexos	1995	54,37
Extremadura	Ambos sexos	1994	55,07
Extremadura	Ambos sexos	1993	55,89
Extremadura	Ambos sexos	1992	55,79
Extremadura	Ambos sexos	1991	55,55
Extremadura	Ambos sexos	1990	54,85
Extremadura	Ambos sexos	1989	55,4
Extremadura	Ambos sexos	1988	54,89
Extremadura	Ambos sexos	1987	52,66
Extremadura	Ambos sexos	1986	52,17
Extremadura	Ambos sexos	1985	53,03
Extremadura	Ambos sexos	1984	53,57
Extremadura	Ambos sexos	1983	54,32
Extremadura	Ambos sexos	1982	54,1
Extremadura	Ambos sexos	1981	54,49
Extremadura	Ambos sexos	1980	54,11
Extremadura	Ambos sexos	1979	55,14
Extremadura	Ambos sexos	1978	55,72
Extremadura	Ambos sexos	1977	55,96
Extremadura	Varones	2029	72,5
Extremadura	Varones	2028	72,5
Extremadura	Varones	2027	72,63
Extremadura	Varones	2026	72,8
Extremadura	Varones	2025	72,98
Extremadura	Varones	2024	73,31
Extremadura	Varones	2023	73,57
Extremadura	Varones	2022	73,83
Extremadura	Varones	2021	74,14
Extremadura	Varones	2020	74,48
Extremadura	Varones	2019	74,81
Extremadura	Varones	2018	75,09
Extremadura	Varones	2017	75,34
Extremadura	Varones	2016	75,7
Extremadura	Varones	2015	78,38
Extremadura	Varones	2014	77,24
Extremadura	Varones	2013	78,91
Extremadura	Varones	2012	77,39
Extremadura	Varones	2011	78,95
Extremadura	Varones	2010	78,18
Extremadura	Varones	2009	78,83
Extremadura	Varones	2008	78,78
Extremadura	Varones	2007	78,2
Extremadura	Varones	2006	78,63
Extremadura	Varones	2005	78,83
Extremadura	Varones	2004	78,73
Extremadura	Varones	2003	78,51
Extremadura	Varones	2002	77,6
Extremadura	Varones	2001	76,56
Extremadura	Varones	2000	76,13
Extremadura	Varones	1999	74,6
Extremadura	Varones	1998	73,84
Extremadura	Varones	1997	73,86
Extremadura	Varones	1996	72,96
Extremadura	Varones	1995	72,86
Extremadura	Varones	1994	74,01
Extremadura	Varones	1993	74,59
Extremadura	Varones	1992	74,65
Extremadura	Varones	1991	75,45
Extremadura	Varones	1990	76,66
Extremadura	Varones	1989	76,94
Extremadura	Varones	1988	77,81
Extremadura	Varones	1987	78,21
Extremadura	Varones	1986	79,33
Extremadura	Varones	1985	80,07
Extremadura	Varones	1984	80,22
Extremadura	Varones	1983	80,81
Extremadura	Varones	1982	81,73
Extremadura	Varones	1981	82,33
Extremadura	Varones	1980	82,02
Extremadura	Varones	1979	83,81
Extremadura	Varones	1978	85,01
Extremadura	Varones	1977	85,43
Extremadura	Mujeres	2029	64,39
Extremadura	Mujeres	2028	64,46
Extremadura	Mujeres	2027	64,66
Extremadura	Mujeres	2026	64,9
Extremadura	Mujeres	2025	64,85
Extremadura	Mujeres	2024	64,9
Extremadura	Mujeres	2023	64,85
Extremadura	Mujeres	2022	64,8
Extremadura	Mujeres	2021	64,74
Extremadura	Mujeres	2020	64,62
Extremadura	Mujeres	2019	64,48
Extremadura	Mujeres	2018	64,18
Extremadura	Mujeres	2017	63,76
Extremadura	Mujeres	2016	63,19
Extremadura	Mujeres	2015	63,46
Extremadura	Mujeres	2014	64,17
Extremadura	Mujeres	2013	64,53
Extremadura	Mujeres	2012	60,13
Extremadura	Mujeres	2011	60,03
Extremadura	Mujeres	2010	58,75
Extremadura	Mujeres	2009	57,59
Extremadura	Mujeres	2008	55,82
Extremadura	Mujeres	2007	54,11
Extremadura	Mujeres	2006	52,88
Extremadura	Mujeres	2005	52,13
Extremadura	Mujeres	2004	49,77
Extremadura	Mujeres	2003	49,44
Extremadura	Mujeres	2002	44,43
Extremadura	Mujeres	2001	43,1
Extremadura	Mujeres	2000	42,42
Extremadura	Mujeres	1999	40,02
Extremadura	Mujeres	1998	38,86
Extremadura	Mujeres	1997	38,32
Extremadura	Mujeres	1996	37,31
Extremadura	Mujeres	1995	35,29
Extremadura	Mujeres	1994	35,54
Extremadura	Mujeres	1993	36,61
Extremadura	Mujeres	1992	36,34
Extremadura	Mujeres	1991	35,03
Extremadura	Mujeres	1990	32,37
Extremadura	Mujeres	1989	33,21
Extremadura	Mujeres	1988	31,31
Extremadura	Mujeres	1987	26,4
Extremadura	Mujeres	1986	24,31
Extremadura	Mujeres	1985	25,34
Extremadura	Mujeres	1984	26,33
Extremadura	Mujeres	1983	27,3
Extremadura	Mujeres	1982	25,99
Extremadura	Mujeres	1981	26,21
Extremadura	Mujeres	1980	25,86
Extremadura	Mujeres	1979	26,21
Extremadura	Mujeres	1978	26,27
Extremadura	Mujeres	1977	26,45
Galicia	Ambos sexos	2029	67,23
Galicia	Ambos sexos	2028	67,47
Galicia	Ambos sexos	2027	67,79
Galicia	Ambos sexos	2026	68,12
Galicia	Ambos sexos	2025	68,39
Galicia	Ambos sexos	2024	68,73
Galicia	Ambos sexos	2023	69,01
Galicia	Ambos sexos	2022	69,3
Galicia	Ambos sexos	2021	69,59
Galicia	Ambos sexos	2020	69,89
Galicia	Ambos sexos	2019	70,12
Galicia	Ambos sexos	2018	70,28
Galicia	Ambos sexos	2017	70,41
Galicia	Ambos sexos	2016	70,54
Galicia	Ambos sexos	2015	72,85
Galicia	Ambos sexos	2014	72,93
Galicia	Ambos sexos	2013	73,23
Galicia	Ambos sexos	2012	73,36
Galicia	Ambos sexos	2011	72,38
Galicia	Ambos sexos	2010	71,53
Galicia	Ambos sexos	2009	72,28
Galicia	Ambos sexos	2008	70,95
Galicia	Ambos sexos	2007	70,15
Galicia	Ambos sexos	2006	69,19
Galicia	Ambos sexos	2005	68,94
Galicia	Ambos sexos	2004	68,81
Galicia	Ambos sexos	2003	66,73
Galicia	Ambos sexos	2002	64,8
Galicia	Ambos sexos	2001	64,46
Galicia	Ambos sexos	2000	64,1
Galicia	Ambos sexos	1999	62,56
Galicia	Ambos sexos	1998	61,72
Galicia	Ambos sexos	1997	61,45
Galicia	Ambos sexos	1996	61,79
Galicia	Ambos sexos	1995	61,63
Galicia	Ambos sexos	1994	62,3
Galicia	Ambos sexos	1993	62,16
Galicia	Ambos sexos	1992	62,88
Galicia	Ambos sexos	1991	63,65
Galicia	Ambos sexos	1990	63,83
Galicia	Ambos sexos	1989	64,5
Galicia	Ambos sexos	1988	64,31
Galicia	Ambos sexos	1987	64,62
Galicia	Ambos sexos	1986	66,09
Galicia	Ambos sexos	1985	66,3
Galicia	Ambos sexos	1984	66,73
Galicia	Ambos sexos	1983	65,43
Galicia	Ambos sexos	1982	64
Galicia	Ambos sexos	1981	64,36
Galicia	Ambos sexos	1980	65,74
Galicia	Ambos sexos	1979	65,86
Galicia	Ambos sexos	1978	66,8
Galicia	Ambos sexos	1977	67,62
Galicia	Varones	2029	71,7
Galicia	Varones	2028	71,92
Galicia	Varones	2027	72,24
Galicia	Varones	2026	72,55
Galicia	Varones	2025	72,91
Galicia	Varones	2024	73,34
Galicia	Varones	2023	73,69
Galicia	Varones	2022	74,09
Galicia	Varones	2021	74,48
Galicia	Varones	2020	74,88
Galicia	Varones	2019	75,22
Galicia	Varones	2018	75,54
Galicia	Varones	2017	75,88
Galicia	Varones	2016	76,17
Galicia	Varones	2015	76,97
Galicia	Varones	2014	76,89
Galicia	Varones	2013	77,9
Galicia	Varones	2012	78,37
Galicia	Varones	2011	78,18
Galicia	Varones	2010	77,71
Galicia	Varones	2009	78,84
Galicia	Varones	2008	79,12
Galicia	Varones	2007	77,96
Galicia	Varones	2006	77,52
Galicia	Varones	2005	77,93
Galicia	Varones	2004	77,78
Galicia	Varones	2003	77,01
Galicia	Varones	2002	75,39
Galicia	Varones	2001	75,14
Galicia	Varones	2000	75,06
Galicia	Varones	1999	74,01
Galicia	Varones	1998	73,62
Galicia	Varones	1997	73,26
Galicia	Varones	1996	73,24
Galicia	Varones	1995	73,64
Galicia	Varones	1994	74,75
Galicia	Varones	1993	75,24
Galicia	Varones	1992	76,44
Galicia	Varones	1991	77,75
Galicia	Varones	1990	78,27
Galicia	Varones	1989	78,66
Galicia	Varones	1988	78,29
Galicia	Varones	1987	80,73
Galicia	Varones	1986	82,08
Galicia	Varones	1985	82,53
Galicia	Varones	1984	83,1
Galicia	Varones	1983	82,83
Galicia	Varones	1982	83,47
Galicia	Varones	1981	83,83
Galicia	Varones	1980	85,33
Galicia	Varones	1979	84,56
Galicia	Varones	1978	84,54
Galicia	Varones	1977	85,72
Galicia	Mujeres	2029	62,79
Galicia	Mujeres	2028	63,04
Galicia	Mujeres	2027	63,38
Galicia	Mujeres	2026	63,73
Galicia	Mujeres	2025	63,91
Galicia	Mujeres	2024	64,17
Galicia	Mujeres	2023	64,37
Galicia	Mujeres	2022	64,56
Galicia	Mujeres	2021	64,76
Galicia	Mujeres	2020	64,95
Galicia	Mujeres	2019	65,07
Galicia	Mujeres	2018	65,06
Galicia	Mujeres	2017	65
Galicia	Mujeres	2016	64,95
Galicia	Mujeres	2015	68,76
Galicia	Mujeres	2014	69
Galicia	Mujeres	2013	68,59
Galicia	Mujeres	2012	68,38
Galicia	Mujeres	2011	66,62
Galicia	Mujeres	2010	65,39
Galicia	Mujeres	2009	65,78
Galicia	Mujeres	2008	62,86
Galicia	Mujeres	2007	62,43
Galicia	Mujeres	2006	60,96
Galicia	Mujeres	2005	60,07
Galicia	Mujeres	2004	59,97
Galicia	Mujeres	2003	56,61
Galicia	Mujeres	2002	54,38
Galicia	Mujeres	2001	53,95
Galicia	Mujeres	2000	53,33
Galicia	Mujeres	1999	51,29
Galicia	Mujeres	1998	50,02
Galicia	Mujeres	1997	49,81
Galicia	Mujeres	1996	50,5
Galicia	Mujeres	1995	49,8
Galicia	Mujeres	1994	50,04
Galicia	Mujeres	1993	49,31
Galicia	Mujeres	1992	49,55
Galicia	Mujeres	1991	49,8
Galicia	Mujeres	1990	49,67
Galicia	Mujeres	1989	50,62
Galicia	Mujeres	1988	50,61
Galicia	Mujeres	1987	48,85
Galicia	Mujeres	1986	50,47
Galicia	Mujeres	1985	50,47
Galicia	Mujeres	1984	50,8
Galicia	Mujeres	1983	48,53
Galicia	Mujeres	1982	45,13
Galicia	Mujeres	1981	45,54
Galicia	Mujeres	1980	46,83
Galicia	Mujeres	1979	47,85
Galicia	Mujeres	1978	49,77
Galicia	Mujeres	1977	50,29
Madrid (Comunidad de)	Ambos sexos	2029	78,16
Madrid (Comunidad de)	Ambos sexos	2028	78,26
Madrid (Comunidad de)	Ambos sexos	2027	78,47
